Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
31 launch,5,889,888,903,909,909,870,909,0.000%,.37659,1.02,0.29
34 login,5,576,336,951,976,976,307,976,60.000%,.39333,0.74,0.38
37 Click_flights,2,1224,1211,1238,1238,1238,1211,1238,0.000%,.32436,2.25,0.50
42 continue1,2,323,319,328,328,328,319,328,0.000%,.37879,0.99,0.31
43 continue1,2,323,319,328,328,328,319,328,0.000%,.37807,1.09,0.27
44 continue3,2,326,321,332,332,332,321,332,0.000%,.37722,1.04,0.32
45 logout,2,912,860,964,964,964,860,964,0.000%,.33636,0.91,0.30
Debug Sampler,2,0,0,1,1,1,0,1,0.000%,.39331,0.22,0.00
TOTAL,22,616,336,976,1211,1238,0,1238,13.636%,1.61943,4.41,1.35
